wc_player_id,full_name,known_name,country,position,price,club_league,club_name,club_player_id,club_match,curated_player_id,curated_match,euro2024_goals
1541,Noureddin Zaid Khaleel Bani Ateyah,Nour Bani Ateyah,JOR,GK,3.6,,,,,,,
1542,Ahmad Mohannad Talab Al Juaidi,Ahmad Al Juaidi,JOR,GK,3.6,,,,,,,
1543,Ehsan Nabil Farhan Haddad,Ehsan Haddad,JOR,DEF,3.5,,,,,,,
1544,Saed Ahmad Salameh Al Rosan,Saed Al Rosan,JOR,DEF,3.5,,,,,,,
1545,Anas Saeed Badawi,Anas Badawi,JOR,DEF,3.5,,,,,,,
1546,Raja'ei Ayed Fadel Hasan,Raja'ei Ayed,JOR,MID,4.5,,,,,,,
1547,Ali Iyad Ali Olwan,Ali Olwan,JOR,FWD,4.2,,,,,,,
1548,Gi-Hyuk Lee,Lee Gi-Hyuk,KOR,DEF,4.5,,,,,,,
1549,In-Beom Hwang,Hwang In-Beom,KOR,MID,5.8,Eredivisie,In Beom Hwang,fm:1790,full_name,d5737d5f-1bad-5d24-a963-16a247325d2b,name+country,
1550,Dong-Gyeong Lee,Lee Dong-Gyeong,KOR,MID,4.9,,,,,,,
1551,Montassar Talbi,,TUN,DEF,3.9,Ligue 1,Montassar Talbi,879618,full_name,838d4552-6892-538c-ac13-223ff17aeef5,name+country,
1552,Dylan Bronn,,TUN,DEF,3.6,,,,,6dfc960a-8e1b-59ef-8f5c-469d6b742b5d,name+country,
1553,Yan Valery,,TUN,DEF,3.9,,,,,,,
1554,Elias Achouri,,TUN,MID,4.8,,,,,,,
1555,Hannibal Mejbri,,TUN,MID,4.8,Premier League,Hannibal Mejbri,1009386,full_name,b036c8f4-372f-5015-bd7d-dbe9a119386e,name+country,
1556,Gédéon Kalulu,,COD,DEF,3.9,,,,,,,
1557,Gaël Kakuta,,COD,MID,4.6,,,,,,,
1558,Armando Obispo,,CUW,DEF,3.7,,,,,,,
1559,Deveron Fonville,,CUW,DEF,3.7,,,,,,,
1560,Jürgen Locadia,,CUW,FWD,4.1,,,,,,,
1561,Roozbeh Cheshmi,,IRN,MID,4.8,,,,,,,
1562,Kasra Taheri,,IRN,FWD,4.7,,,,,,,
1563,Jalal Hassan Hachim,Jalal Hassan,IRQ,GK,3.9,,,,,,,
1564,Mustafa Saadoon Abbood Al Korji,Mustafa Saadoon,IRQ,DEF,3.6,,,,,,,
1565,Ahmed Yahya Mahmood Al Hajjaj,Ahmed Yahya,IRQ,DEF,3.6,,,,,,,
1566,Dario Naamo,,IRQ,DEF,3.5,,,,,,,
1567,Jussef Nasrawe,Jussef Nasrawe,IRQ,MID,4.4,,,,,,,
1568,Ahmed Ihab Ahmed,Ahmed Qasem,IRQ,MID,4.4,Premier League,Ali Ahmed,1464637,unique_last_name,,,
1569,Diogo Meireles da Costa,Diogo Costa,POR,GK,4.9,,,,,3f0e1a87-f364-59b1-b4fb-2a9cd3cd0669,name+country,
1570,Rúben dos Santos Gato Alves Dias,Rúben Dias,POR,DEF,5,Premier League,Rúben Dias,318941,known_name,0be5efc4-6398-53c8-a9bb-5622b828ffb6,name+country,
1571,Nélson Cabral Semedo,Nélson Semedo,POR,DEF,4.3,Super Lig,Nelson Semedo,fm:3883,known_name,,,
