source,match_id,date,team,team_code,player,player_id,minute,penalty,own_goal
wc_history,WC-0331dca2-ef3b-511d-a5b6-f0d4ff1ba8cc,1998-06-24,Spain,ESP,Kiko,76d6714b-76e0-58f7-9a37-101b0e0ba4f5,90'+4,False,False
wc_history,WC-03a70d96-ad94-56e9-b9d4-a9d0e3e33c25,2018-06-14,Russia,RUS,Yury Gazinsky,80650796-37ca-5480-9734-c12065fd0c1c,12,False,False
wc_history,WC-03a70d96-ad94-56e9-b9d4-a9d0e3e33c25,2018-06-14,Russia,RUS,Denis Cheryshev,0a7b8993-f8c5-5286-98db-74d23d17a513,43,False,False
wc_history,WC-03a70d96-ad94-56e9-b9d4-a9d0e3e33c25,2018-06-14,Russia,RUS,Artem Dzyuba,709adc2b-8004-53f7-9f46-277c6da8bfe9,71,False,False
wc_history,WC-03a70d96-ad94-56e9-b9d4-a9d0e3e33c25,2018-06-14,Russia,RUS,Denis Cheryshev,0a7b8993-f8c5-5286-98db-74d23d17a513,90'+1,False,False
wc_history,WC-03a70d96-ad94-56e9-b9d4-a9d0e3e33c25,2018-06-14,Russia,RUS,Aleksandr Golovin,74b6aee6-4aff-5949-bc8e-6ba96630cbd4,90'+4,False,False
wc_history,WC-041042a3-517a-595f-9f7d-4f524f0cfbf7,2006-06-25,England,ENG,David Beckham,7e2d304a-b785-50b0-8d73-29e7ee367cee,60,False,False
wc_history,WC-04644fa1-1c18-5b9f-b104-4d140cdf3909,1982-06-15,Scotland,SCO,Kenny Dalglish,2b905157-1752-5231-8b28-9f9894f4bf27,18,False,False
wc_history,WC-04644fa1-1c18-5b9f-b104-4d140cdf3909,1982-06-15,Scotland,SCO,John Wark,c37a1c0d-a9d5-52ca-970b-6e3c4d7f02c9,29,False,False
wc_history,WC-04644fa1-1c18-5b9f-b104-4d140cdf3909,1982-06-15,Scotland,SCO,John Wark,c37a1c0d-a9d5-52ca-970b-6e3c4d7f02c9,32,False,False
wc_history,WC-04644fa1-1c18-5b9f-b104-4d140cdf3909,1982-06-15,New Zealand,NZL,Steve Sumner,77667b73-3716-5a8f-b831-07685951a375,54,False,False
wc_history,WC-04644fa1-1c18-5b9f-b104-4d140cdf3909,1982-06-15,New Zealand,NZL,Steve Wooddin,78ece2e6-779d-5de8-8960-5e0b13da7ade,64,False,False
wc_history,WC-04644fa1-1c18-5b9f-b104-4d140cdf3909,1982-06-15,Scotland,SCO,John Robertson,4b403c2d-12b3-5dc8-8114-60d30fdadaf0,73,False,False
wc_history,WC-04644fa1-1c18-5b9f-b104-4d140cdf3909,1982-06-15,Scotland,SCO,Steve Archibald,592a5c21-6ce6-5375-a1d4-539f23534154,79,False,False
wc_history,WC-04662c35-40c5-5478-a96f-a2381db96bd4,1958-06-08,Hungary,HUN,József Bozsik,9e8953f0-6381-5ffd-ba6e-c4bfb162b1a6,5,False,False
