 	Playing Time 	Performance 	Per 90 Minutes	
Rk 	Player 	Nation 	Pos 	Squad 	Age 	Born 	MP 	Starts 	Min 	90s 	Gls 	Ast 	G+A 	G-PK 	PK 	PKatt 	CrdY 	CrdR 	Gls 	Ast 	G+A 	G-PK 	G+A-PK 	Matches
398	Tete Morente	es ESP	MF	Elche	28	1996	13	11	929	10.3	1	1	2	1	0	0	1	0	0.10	0.10	0.19	0.10	0.19	Matches
399	Mateu Morey	es ESP	DF,MF	Mallorca	25	2000	18	9	704	7.8	1	0	1	1	0	0	2	0	0.13	0.00	0.13	0.13	0.13	Matches
400	Ilaix Moriba	gn GUI	MF	Celta Vigo	22	2003	36	26	2,495	27.7	2	3	5	2	0	0	8	0	0.07	0.11	0.18	0.07	0.18	Matches
Rk 	Player 	Nation 	Pos 	Squad 	Age 	Born 	MP 	Starts 	Min 	90s 	Gls 	Ast 	G+A 	G-PK 	PK 	PKatt 	CrdY 	CrdR 	Gls 	Ast 	G+A 	G-PK 	G+A-PK 	Matches
401	Manu Morlanes	es ESP	MF	Mallorca	26	1999	32	22	1,765	19.6	3	0	3	3	0	0	5	1	0.15	0.00	0.15	0.15	0.15	Matches
402	Raúl Moro	es ESP	MF	Osasuna	22	2002	14	7	625	6.9	0	2	2	0	0	0	0	0	0.00	0.29	0.29	0.00	0.29	Matches
403	Santiago Mouriño	uy URU	DF	Villarreal	23	2002	28	27	2,377	26.4	1	2	3	1	0	0	11	1	0.04	0.08	0.11	0.04	0.11	Matches
404	Abdul Mumin	gh GHA	DF	Rayo Vallecano	27	1998	3	1	79	0.9	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
405	Aihen Muñoz	es ESP	DF	Real Sociedad	27	1997	21	9	848	9.4	1	0	1	1	0	0	1	0	0.11	0.00	0.11	0.11	0.11	Matches
406	Iker Muñoz	es ESP	MF	Osasuna	22	2002	19	8	952	10.6	0	0	0	0	0	0	5	0	0.00	0.00	0.00	0.00	0.00	Matches
407	Javier Muñoz	es ESP	MF,FW	Getafe	30	1995	17	4	551	6.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
408	Víctor Muñoz	es ESP	MF,FW	Osasuna	22	2003	34	31	2,656	29.5	6	2	8	6	0	0	3	0	0.20	0.07	0.27	0.20	0.27	Matches
409	Vedat Muriqi	xk KVX	FW	Mallorca	31	1994	37	36	3,128	34.8	23	1	24	18	5	7	4	1	0.66	0.03	0.69	0.52	0.55	Matches
410	Juan Musso	ar ARG	GK	Atlético Madrid	31	1994	8	8	720	8.0	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
411	Natan	br BRA	DF	Real Betis	24	2001	33	32	2,807	31.2	0	0	0	0	0	0	8	0	0.00	0.00	0.00	0.00	0.00	Matches
412	Pau Navarro	es ESP	DF	Villarreal	20	2005	23	23	1,921	21.3	0	0	0	0	0	0	4	0	0.00	0.00	0.00	0.00	0.00	Matches
413	Roberto Navarro	es ESP	MF	Athletic Club	23	2002	32	10	1,307	14.5	6	1	7	6	0	0	1	0	0.41	0.07	0.48	0.41	0.48	Matches
414	Martim Neto	pt POR	MF	Elche	22	2003	25	15	1,347	15.0	2	5	7	2	0	0	3	0	0.13	0.33	0.47	0.13	0.47	Matches
415	Yvan Neyou	cm CMR	MF	Getafe	28	1997	5	0	67	0.7	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
416	Cyril Ngonge	be BEL	MF	Espanyol	25	2000	9	6	424	4.7	0	2	2	0	0	0	4	0	0.00	0.42	0.42	0.00	0.42	Matches
417	Tanguy Nianzou	fr FRA	DF	Sevilla	23	2002	12	8	655	7.3	0	0	0	0	0	0	5	1	0.00	0.00	0.00	0.00	0.00	Matches
418	Randy Nteka	ao ANG	FW	Rayo Vallecano	27	1997	13	3	374	4.2	3	0	3	3	0	1	3	0	0.72	0.00	0.72	0.72	0.72	Matches
419	Álvaro Núñez	es ESP	DF,MF	Elche	25	2000	19	19	1,647	18.3	0	2	2	0	0	0	2	0	0.00	0.11	0.11	0.00	0.11	Matches
420	Álvaro Núñez	es ESP	DF,MF	Celta Vigo	25	2000	6	5	328	3.6	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
421	Unai Núñez	es ESP	DF	Valencia	28	1997	13	10	911	10.1	0	0	0	0	0	0	3	0	0.00	0.00	0.00	0.00	0.00	Matches
