 	Playing Time 	Performance 	Per 90 Minutes	
Rk 	Player 	Nation 	Pos 	Squad 	Age 	Born 	MP 	Starts 	Min 	90s 	Gls 	Ast 	G+A 	G-PK 	PK 	PKatt 	CrdY 	CrdR 	Gls 	Ast 	G+A 	G-PK 	G+A-PK 	Matches
485	Oriol Rey	es ESP	MF	Levante	27	1998	20	14	1,319	14.7	0	1	1	0	0	0	4	0	0.00	0.07	0.07	0.00	0.07	Matches
486	Diego Rico	es ESP	DF	Getafe	32	1993	28	18	1,758	19.5	0	0	0	0	0	0	4	0	0.00	0.00	0.00	0.00	0.00	Matches
487	Clemens Riedel	de GER	DF	Espanyol	22	2003	20	16	1,396	15.5	0	1	1	0	0	0	5	0	0.00	0.06	0.06	0.00	0.06	Matches
488	Hugo Rincón	es ESP	DF	Girona	22	2003	33	16	1,750	19.4	1	1	2	1	0	0	4	0	0.05	0.05	0.10	0.05	0.10	Matches
489	Luis Rioja	es ESP	MF	Valencia	31	1993	37	31	2,624	29.2	3	6	9	3	0	0	1	0	0.10	0.21	0.31	0.10	0.31	Matches
490	Rodrigo Riquelme	es ESP	MF	Real Betis	25	2000	25	7	821	9.1	1	1	2	1	0	0	2	0	0.11	0.11	0.22	0.11	0.22	Matches
491	Mihailo Ristić	rs SRB	MF,DF	Celta Vigo	29	1995	5	4	253	2.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
492	Joel Roca	es ESP	MF,FW	Girona	20	2005	32	16	1,473	16.4	3	1	4	3	0	0	4	1	0.18	0.06	0.24	0.18	0.24	Matches
493	Marc Roca	es ESP	MF	Real Betis	28	1996	29	23	2,026	22.5	1	1	2	1	0	0	1	0	0.04	0.04	0.09	0.04	0.09	Matches
494	Álvaro Rodríguez	uy URU	FW	Elche	21	2004	34	24	2,201	24.5	7	5	12	7	0	0	2	0	0.29	0.20	0.49	0.29	0.49	Matches
495	Damián Rodríguez	es ESP	MF	Celta Vigo	22	2003	2	2	150	1.7	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
496	Dani Rodríguez	es ESP	FW,MF	Mallorca	37	1988	2	0	68	0.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
497	Guido Rodríguez	ar ARG	MF	Valencia	31	1994	16	14	1,309	14.5	4	0	4	4	0	0	4	0	0.28	0.00	0.28	0.28	0.28	Matches
498	Javi Rodríguez	es ESP	DF	Celta Vigo	22	2003	33	28	2,558	28.4	0	1	1	0	0	0	5	0	0.00	0.04	0.04	0.00	0.04	Matches
499	Ricardo Rodríguez	ch SUI	DF	Real Betis	32	1992	23	18	1,547	17.2	0	1	1	0	0	0	0	0	0.00	0.06	0.06	0.00	0.06	Matches
500	Rodrygo	br BRA	MF,FW	Real Madrid	24	2001	19	6	684	7.6	1	3	4	1	0	0	3	0	0.13	0.39	0.53	0.13	0.53	Matches
Rk 	Player 	Nation 	Pos 	Squad 	Age 	Born 	MP 	Starts 	Min 	90s 	Gls 	Ast 	G+A 	G-PK 	PK 	PKatt 	CrdY 	CrdR 	Gls 	Ast 	G+A 	G-PK 	G+A-PK 	Matches
501	Leo Román	es ESP	GK	Mallorca	25	2000	33	33	2,970	33.0	0	0	0	0	0	0	4	0	0.00	0.00	0.00	0.00	0.00	Matches
502	Miguel Román	es ESP	MF	Celta Vigo	22	2002	19	14	1,311	14.6	1	0	1	1	0	0	3	0	0.07	0.00	0.07	0.07	0.07	Matches
503	Carlos Romero	es ESP	DF	Espanyol	23	2001	36	36	3,191	35.5	6	3	9	6	0	0	4	0	0.17	0.08	0.25	0.17	0.25	Matches
504	Isaac Romero	es ESP	FW,MF	Sevilla	25	2000	29	18	1,484	16.5	4	0	4	4	0	1	6	1	0.24	0.00	0.24	0.24	0.24	Matches
505	Iván Romero	es ESP	FW,MF	Levante	24	2001	32	28	2,259	25.1	7	1	8	7	0	1	5	0	0.28	0.04	0.32	0.28	0.32	Matches
506	Zaid Romero	ar ARG	DF	Getafe	25	1999	15	15	1,349	15.0	1	0	1	1	0	0	5	1	0.07	0.00	0.07	0.07	0.07	Matches
507	Salomón Rondón	ve VEN	FW	Oviedo	35	1989	16	13	1,032	11.5	2	0	2	2	0	1	2	0	0.17	0.00	0.17	0.17	0.17	Matches
508	Valentin Rosier	fr FRA	DF,MF	Osasuna	28	1996	31	30	2,547	28.3	1	1	2	1	0	0	6	1	0.04	0.04	0.07	0.04	0.07	Matches
509	Rubén	es ESP	DF,MF	Espanyol	24	2001	21	8	812	9.0	0	1	1	0	0	0	2	0	0.00	0.11	0.11	0.00	0.11	Matches
510	Antonio Rüdiger	de GER	DF	Real Madrid	32	1993	18	16	1,490	16.6	1	0	1	1	0	0	0	0	0.06	0.00	0.06	0.06	0.06	Matches
511	Javi Rueda	es ESP	MF	Celta Vigo	23	2002	26	16	1,404	15.6	2	6	8	2	0	0	6	0	0.13	0.38	0.51	0.13	0.51	Matches
512	Matteo Ruggeri	it ITA	DF	Atlético Madrid	23	2002	26	20	1,774	19.7	0	3	3	0	0	0	4	0	0.00	0.15	0.15	0.00	0.15	Matches
513	Aitor Ruibal	es ESP	DF,MF	Real Betis	29	1996	27	20	1,808	20.1	4	2	6	4	0	0	6	1	0.20	0.10	0.30	0.20	0.30	Matches
514	Abel Ruiz	es ESP	FW	Girona	25	2000	9	0	187	2.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
515	Iñaki Rupérez	es ESP	DF	Real Sociedad	22	2003	1	0	1	0.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
516	Mathew Ryan	au AUS	GK	Levante	33	1992	36	36	3,240	36.0	0	0	0	0	0	0	4	0	0.00	0.00	0.00	0.00	0.00	Matches
517	Umar Sadiq	ng NGA	FW	Valencia	28	1997	20	8	911	10.1	4	2	6	4	0	0	3	0	0.40	0.20	0.59	0.40	0.59	Matches
518	Umar Sadiq	ng NGA	FW	Real Sociedad	28	1997	5	2	153	1.7	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
519	Jan Salas	es ESP	MF	Mallorca	19	2005	2	0	17	0.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
520	Kike Salas	es ESP	DF	Sevilla	23	2002	26	24	2,203	24.5	2	0	2	2	0	0	1	0	0.08	0.00	0.08	0.08	0.08	Matches
521	José Salinas	es ESP	DF	Espanyol	24	2000	11	2	257	2.9	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
522	Oihan Sancet	es ESP	MF	Athletic Club	25	2000	28	22	1,788	19.9	4	0	4	2	2	2	4	1	0.20	0.00	0.20	0.10	0.10	Matches
523	Álex Sánchez	es ESP	FW	Elche	19	2006	1	0	6	0.1	0	1	1	0	0	0	0	0	0.00	15.00	15.00	0.00	15.00	Matches
524	Alexis Sánchez	cl CHI	FW,MF	Sevilla	36	1988	28	11	1,308	14.5	4	2	6	3	1	1	3	0	0.28	0.14	0.41	0.21	0.34	Matches
525	Antonio Sánchez	es ESP	MF,DF	Mallorca	28	1997	30	9	1,073	11.9	0	0	0	0	0	0	5	1	0.00	0.00	0.00	0.00	0.00	Matches
Rk 	Player 	Nation 	Pos 	Squad 	Age 	Born 	MP 	Starts 	Min 	90s 	Gls 	Ast 	G+A 	G-PK 	PK 	PKatt 	CrdY 	CrdR 	Gls 	Ast 	G+A 	G-PK 	G+A-PK 	Matches
526	Juanlu Sánchez	es ESP	MF,DF	Sevilla	21	2003	32	23	1,990	22.1	0	3	3	0	0	0	6	1	0.00	0.14	0.14	0.00	0.14	Matches
527	Borja Sánchez Laborde	es ESP	MF	Oviedo	29	1996	1	0	14	0.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
528	Manu Sánchez	es ESP	DF	Levante	24	2000	33	31	2,814	31.3	1	2	3	1	0	0	8	0	0.03	0.06	0.10	0.03	0.10	Matches
529	Selton Sánchez	es ESP	MF	Athletic Club	18	2007	7	2	196	2.2	0	1	1	0	0	0	0	0	0.00	0.46	0.46	0.00	0.46	Matches
530	Álex Sancris	es ESP	MF,FW	Getafe	28	1997	18	5	708	7.9	0	1	1	0	0	0	4	1	0.00	0.13	0.13	0.00	0.13	Matches
531	Buba Sangaré	es ESP	DF,MF	Elche	17	2007	12	8	538	6.0	0	0	0	0	0	0	3	0	0.00	0.00	0.00	0.00	0.00	Matches
532	Maroan Sannadi	ma MAR	FW	Athletic Club	24	2001	10	2	288	3.2	1	0	1	1	0	0	2	0	0.31	0.00	0.31	0.31	0.31	Matches
533	Baptiste Santamaria	fr FRA	MF	Valencia	30	1995	19	7	754	8.4	1	1	2	1	0	0	2	0	0.12	0.12	0.24	0.12	0.24	Matches
534	Yago Santiago	es ESP	MF	Elche	22	2003	9	3	281	3.1	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
535	Renzo Saravia	ar ARG	DF	Valencia	32	1993	5	4	351	3.9	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
536	Martin Satriano	uy URU	FW,MF	Getafe	24	2001	18	18	1,603	17.8	6	1	7	6	0	0	5	0	0.34	0.06	0.39	0.34	0.39	Matches
537	Taufik Seidu	es ESP	MF	Atlético Madrid	17	2008	1	0	23	0.3	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
538	Manuel Serrano	es ESP	DF	Real Madrid	21	2004	1	0	7	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
539	Nicolás Serrano	es ESP	MF	Athletic Club	22	2003	16	4	366	4.1	1	0	1	1	0	0	0	0	0.25	0.00	0.25	0.25	0.25	Matches
540	Kwasi Sibo	gh GHA	MF	Oviedo	27	1998	26	21	1,681	18.7	0	0	0	0	0	0	3	1	0.00	0.00	0.00	0.00	0.00	Matches
541	André Silva	pt POR	FW	Elche	29	1995	31	22	1,849	20.5	10	0	10	7	3	3	3	0	0.49	0.00	0.49	0.34	0.34	Matches
542	Giuliano Simeone	ar ARG	MF	Atlético Madrid	22	2002	31	25	2,099	23.3	4	6	10	4	0	0	2	0	0.17	0.26	0.43	0.17	0.43	Matches
543	Unai Simón	es ESP	GK	Athletic Club	28	1997	37	37	3,330	37.0	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
544	Antonio Sivera	es ESP	GK	Alavés	28	1996	38	38	3,420	38.0	0	0	0	0	0	0	3	0	0.00	0.00	0.00	0.00	0.00	Matches
545	Alex Sola	es ESP	DF,FW	Getafe	26	1999	1	0	13	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
546	Carlos Soler	es ESP	MF	Real Sociedad	28	1997	33	26	2,317	25.7	4	3	7	4	0	0	3	1	0.16	0.12	0.27	0.16	0.27	Matches
547	Jhon Solis	co COL	MF	Girona	20	2004	12	3	380	4.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
548	Manor Solomon	il ISR	MF	Villarreal	26	1999	6	1	150	1.7	1	1	2	1	0	0	0	0	0.60	0.60	1.20	0.60	1.20	Matches
549	Hugo Solozabal	es ESP	MF	Getafe	22	2003	1	0	11	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
550	David Soria	es ESP	GK	Getafe	32	1993	38	38	3,420	38.0	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
Rk 	Player 	Nation 	Pos 	Squad 	Age 	Born 	MP 	Starts 	Min 	90s 	Gls 	Ast 	G+A 	G-PK 	PK 	PKatt 	CrdY 	CrdR 	Gls 	Ast 	G+A 	G-PK 	G+A-PK 	Matches
551	Hugo Sotelo	es ESP	MF	Celta Vigo	21	2003	20	16	1,338	14.9	0	2	2	0	0	0	3	0	0.00	0.13	0.13	0.00	0.13	Matches
552	Djibril Sow	ch SUI	MF	Sevilla	28	1997	33	27	2,187	24.3	5	4	9	5	0	0	6	0	0.21	0.16	0.37	0.21	0.37	Matches
553	Carl Starfelt	se SWE	DF	Celta Vigo	30	1995	19	17	1,491	16.6	0	0	0	0	0	0	3	1	0.00	0.00	0.00	0.00	0.00	Matches
554	Orri Steinn Óskarsson	is ISL	FW	Real Sociedad	20	2004	20	8	835	9.3	9	0	9	9	0	0	5	0	0.97	0.00	0.97	0.97	0.97	Matches
555	Cristhian Stuani	uy URU	FW	Girona	38	1986	21	1	412	4.6	5	0	5	2	3	4	4	0	1.09	0.00	1.09	0.44	0.44	Matches
556	Denis Suárez	es ESP	MF	Alavés	31	1994	30	15	1,406	15.6	1	2	3	1	0	0	6	0	0.06	0.13	0.19	0.06	0.19	Matches
557	Gabriel Suazo	cl CHI	DF,MF	Sevilla	27	1997	29	25	2,096	23.3	0	2	2	0	0	0	7	0	0.00	0.09	0.09	0.00	0.09	Matches
558	Luka Sučić	hr CRO	MF,FW	Real Sociedad	22	2002	22	10	1,022	11.4	3	1	4	3	0	0	1	0	0.26	0.09	0.35	0.26	0.35	Matches
559	Williot Swedberg	se SWE	FW,MF	Celta Vigo	21	2004	29	13	1,270	14.1	5	5	10	5	0	0	2	0	0.35	0.35	0.71	0.35	0.71	Matches
560	Wojciech Szczęsny	pl POL	GK	Barcelona	35	1990	8	8	720	8.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
561	Alexander Sørloth	no NOR	FW	Atlético Madrid	29	1995	35	20	1,980	22.0	13	0	13	13	0	0	4	1	0.59	0.00	0.59	0.59	0.59	Matches
562	César Tárrega	es ESP	DF	Valencia	23	2002	32	29	2,598	28.9	0	0	0	0	0	0	7	0	0.00	0.00	0.00	0.00	0.00	Matches
563	Aurélien Tchouaméni	fr FRA	MF	Real Madrid	25	2000	33	31	2,615	29.1	1	0	1	1	0	0	8	0	0.03	0.00	0.03	0.03	0.03	Matches
564	Nahuel Tenaglia	ar ARG	DF	Alavés	29	1996	36	36	3,239	36.0	2	0	2	2	0	0	3	0	0.06	0.00	0.06	0.06	0.06	Matches
565	Arnau Tenas	es ESP	GK	Villarreal	24	2001	10	10	900	10.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
566	Marc-André ter Stegen	de GER	GK	Girona	33	1992	2	2	180	2.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
567	Ramón Terrats	es ESP	MF	Espanyol	24	2000	29	12	1,030	11.4	1	2	3	1	0	0	0	0	0.09	0.17	0.26	0.09	0.26	Matches
568	Jeremy Toljan	de GER	DF	Levante	30	1994	37	37	3,164	35.2	1	4	5	1	0	0	8	0	0.03	0.11	0.14	0.03	0.14	Matches
569	Pablo Torre	es ESP	MF,FW	Mallorca	22	2003	35	19	1,599	17.8	4	4	8	4	0	0	4	0	0.23	0.23	0.45	0.23	0.45	Matches
570	Jofre Torrents	es ESP	DF	Barcelona	18	2007	3	0	50	0.6	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
571	Ferrán Torres	es ESP	FW	Barcelona	25	2000	33	23	1,965	21.8	16	2	18	16	0	0	2	0	0.73	0.09	0.82	0.73	0.82	Matches
572	Lucas Torró	es ESP	MF	Osasuna	31	1994	34	31	2,293	25.5	0	1	1	0	0	0	6	0	0.00	0.04	0.04	0.00	0.04	Matches
573	Óscar Trejo	ar ARG	MF	Rayo Vallecano	37	1988	7	1	144	1.6	0	1	1	0	0	0	2	0	0.00	0.62	0.62	0.00	0.62	Matches
574	Viktor Tsyhankov	ua UKR	MF,FW	Girona	27	1997	32	31	2,630	29.2	6	5	11	6	0	0	3	0	0.21	0.17	0.38	0.21	0.38	Matches
575	Kareem Tunde	es ESP	MF	Levante	19	2005	21	17	1,133	12.6	0	1	1	0	0	0	3	0	0.00	0.08	0.08	0.00	0.08	Matches
Rk 	Player 	Nation 	Pos 	Squad 	Age 	Born 	MP 	Starts 	Min 	90s 	Gls 	Ast 	G+A 	G-PK 	PK 	PKatt 	CrdY 	CrdR 	Gls 	Ast 	G+A 	G-PK 	G+A-PK 	Matches
576	Beñat Turrientes	es ESP	MF	Real Sociedad	23	2002	27	16	1,348	15.0	0	3	3	0	0	0	7	0	0.00	0.20	0.20	0.00	0.20	Matches
577	Christantus Uche	ng NGA	FW	Getafe	22	2003	3	3	270	3.0	1	1	2	1	0	0	1	0	0.33	0.33	0.67	0.33	0.67	Matches
578	Filip Ugrinic	ch SUI	MF	Valencia	26	1999	27	17	1,504	16.7	0	3	3	0	0	0	3	0	0.00	0.18	0.18	0.00	0.18	Matches
579	Victor Valdepeñas	es ESP	DF	Real Madrid	18	2006	1	1	77	0.9	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
580	Óscar Valentín	es ESP	MF	Rayo Vallecano	30	1994	33	26	2,109	23.4	1	0	1	1	0	0	3	1	0.04	0.00	0.04	0.04	0.04	Matches
581	Germán Valera	es ESP	MF,DF	Elche	23	2002	36	33	2,857	31.7	4	5	9	4	0	0	4	1	0.13	0.16	0.28	0.13	0.28	Matches
582	Martin Valjent	sk SVK	DF	Mallorca	29	1995	37	37	3,308	36.8	0	0	0	0	0	0	6	0	0.00	0.00	0.00	0.00	0.00	Matches
583	Álvaro Vallés	es ESP	GK	Real Betis	28	1997	28	28	2,520	28.0	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
584	Federico Valverde	uy URU	MF,DF	Real Madrid	27	1998	33	31	2,740	30.4	5	8	13	5	0	0	3	1	0.16	0.26	0.43	0.16	0.43	Matches
585	Vladyslav Vanat	ua UKR	FW	Girona	23	2002	27	27	1,942	21.6	9	1	10	6	3	3	4	0	0.42	0.05	0.46	0.28	0.32	Matches
586	Obed Vargas	mx MEX	MF	Atlético Madrid	19	2005	12	8	740	8.2	0	1	1	0	0	0	2	0	0.00	0.12	0.12	0.00	0.12	Matches
587	Ruben Vargas	ch SUI	MF,FW	Sevilla	26	1998	24	20	1,594	17.7	3	6	9	2	1	1	2	0	0.17	0.34	0.51	0.11	0.45	Matches
588	José Luis García Vayá	es ESP	MF,DF	Valencia	26	1998	31	26	2,225	24.7	2	0	2	1	1	3	4	0	0.08	0.00	0.08	0.04	0.04	Matches
589	Jesus Vazquez	es ESP	DF,MF	Valencia	22	2003	24	7	974	10.8	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
590	Luis Vázquez	ar ARG	FW	Getafe	24	2001	17	14	1,194	13.3	3	1	4	3	0	0	2	0	0.23	0.08	0.30	0.23	0.30	Matches
591	Matías Vecino	uy URU	MF	Celta Vigo	33	1991	6	2	135	1.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
592	Renato Veiga	pt POR	DF	Villarreal	22	2003	32	27	2,481	27.6	0	0	0	0	0	0	5	1	0.00	0.00	0.00	0.00	0.00	Matches
593	Unai Vencedor Paris	es ESP	MF	Levante	24	2000	16	11	812	9.0	0	0	0	0	0	0	3	1	0.00	0.00	0.00	0.00	0.00	Matches
594	Jozhua Vertrouwd	nl NED	DF	Rayo Vallecano	20	2004	9	3	446	5.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
595	Mikel Vesga	es ESP	MF	Athletic Club	32	1993	23	1	465	5.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
596	Carlos Vicente	es ESP	MF	Alavés	26	1999	21	11	1,258	14.0	5	0	5	2	3	3	1	0	0.36	0.00	0.36	0.14	0.14	Matches
597	Nacho Vidal	es ESP	DF	Oviedo	30	1995	29	27	2,263	25.1	0	0	0	0	0	0	4	0	0.00	0.00	0.00	0.00	0.00	Matches
598	Gonzalo Villar	es ESP	MF	Elche	27	1998	12	8	718	8.0	1	0	1	1	0	0	3	0	0.13	0.00	0.13	0.13	0.13	Matches
599	Federico Viñas	uy URU	FW,MF	Oviedo	27	1998	33	28	2,439	27.1	9	1	10	7	2	2	7	3	0.33	0.04	0.37	0.26	0.30	Matches
600	Jan Virgili	es ESP	MF,FW	Mallorca	19	2006	31	19	1,792	19.9	2	4	6	2	0	0	0	1	0.10	0.20	0.30	0.10	0.30	Matches
Rk 	Player 	Nation 	Pos 	Squad 	Age 	Born 	MP 	Starts 	Min 	90s 	Gls 	Ast 	G+A 	G-PK 	PK 	PKatt 	CrdY 	CrdR 	Gls 	Ast 	G+A 	G-PK 	G+A-PK 	Matches
601	Daniel Vivian	es ESP	DF	Athletic Club	26	1999	31	28	2,564	28.5	1	0	1	1	0	0	8	1	0.04	0.00	0.04	0.04	0.04	Matches
602	Odysseas Vlachodimos	gr GRE	GK	Sevilla	31	1994	33	33	2,970	33.0	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
603	Wesley	br BRA	MF	Real Sociedad	20	2005	5	1	88	1.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
604	Iñaki Williams	gh GHA	MF,FW	Athletic Club	31	1994	30	25	2,157	24.0	3	6	9	2	1	1	2	0	0.13	0.25	0.38	0.08	0.33	Matches
605	Nico Williams	es ESP	MF	Athletic Club	23	2002	25	20	1,674	18.6	6	3	9	5	1	2	2	0	0.32	0.16	0.48	0.27	0.43	Matches
606	Axel Witsel	be BEL	MF	Girona	36	1989	32	30	2,526	28.1	1	2	3	1	0	0	2	1	0.04	0.07	0.11	0.04	0.11	Matches
607	Lamine Yamal	es ESP	MF,FW	Barcelona	18	2007	28	26	2,262	25.1	16	11	27	13	3	4	1	0	0.64	0.44	1.07	0.52	0.95	Matches
608	Daniel Yáñez	es ESP	MF	Real Madrid	18	2007	2	0	47	0.5	0	1	1	0	0	0	0	0	0.00	1.91	1.91	0.00	1.91	Matches
609	Arsen Zakharyan	ru RUS	MF	Real Sociedad	22	2003	17	3	458	5.1	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
610	Bryan Zaragoza	es ESP	FW,MF	Celta Vigo	23	2001	19	13	1,131	12.6	1	1	2	0	1	1	1	0	0.08	0.08	0.16	0.00	0.08	Matches
611	Igor Zubeldia	es ESP	DF	Real Sociedad	28	1997	25	23	2,082	23.1	0	1	1	0	0	0	9	0	0.00	0.04	0.04	0.00	0.04	Matches
